CNPJ DO FUNDO;NOME DO FUNDO;CLASSE;CLASSE;TX. ADM;ADMINISTRADOR;GESTOR;CARÊNCIA;CONVERSÃO DE COTAS;DISP. REC. RESGATADO;TAXA_SAIDA;MOTIVO
09.601.197/0001-99;MULTINVEST FUNDO DE INVESTIMENTO MULTIMERCADO;FI;Fundo Multimercado;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA;Não há.;D+30;D+31;0;Ativo Vedado / CRI/CRA / FIDC Vedado /
09.613.226/0001-32;PIATÃ FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO PREVIDENCIÁRIO CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;1;INTRADER DTVM LTDA;BRPP GESTÃO DE PRODUTOS ESTRUTURADOS LTDA.;Não há.;D+1080;D+1081;0;Ativo Vedado / CRI/CRA /
09.613.232/0001-90;FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO PORTFOLIO MASTER I;FI;Fundo de Renda Fixa;0;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;AGGREGA INVESTIMENTOS LTDA.;(vide regulamento);(vide regulamento);(vide regulamento);15;FIDC Vedado /
10.355.516/0001-02;TOP FUNDO DE INVESTIMENTO RENDA FIXA;FI;Fundo de Renda Fixa;1;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;BRPP GESTÃO DE PRODUTOS ESTRUTURADOS LTDA.;Não há.;D+1470;D+1473;0;Ativo Vedado / FII Vedado /
10.462.072/0001-04;FUNDO DE INVESTIMENTO MULTIMERCADO LONGO PRAZO SOMMA MULTI- ESTRATÉGIAS II;FI;Fundo Multimercado;1;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;SOMMA INVESTIMENTOS S.A.;Não há.;D+0;D+1;0;Ativo Vedado / FIDC Vedado /
10.561.127/0001-33;GRADUAL FUNDO DE INVESTIMENTO DE RENDA FIXA;FI;Fundo de Renda Fixa;1;GRADUAL CCTVM S/A;OAK ASSET - GESTÃO DE RECURSOS FINANCEIROS LTDA;Não há.;D+0;D+0;0;Ativo Vedado /
10.625.626/0001-47;CONQUEST FIP EMPRESAS EMERGENTES;FIP;FIP;1;FOCO DTVM LTDA.;GENUS CAPITAL GROUP GESTAO DE RECURSOS SA;(vide regulamento);(vide regulamento);(vide regulamento);0;FIP Vedado
10.699.306/0001-31;PLANNER AÇOES INSTITUCIONAL RPPS FUNDO DE INVESTIMENTO EM AÇÕES;FI;Fundo de Ações;2;PLANNER CORRETORA DE VALORES SA;PLANNER CORRETORA DE VALORES SA;Não há.;D+1;D+4;0;Ativo Vedado /
10.705.306/0001-05;URCA FI RENDA FIXA CRÉDITO PRIVADO PREVIDENCIÁRIO;FI;Fundo de Renda Fixa;0;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;ACRUX ADMINISTRACAO DE RECURSOS LTDA;Não há.;(vide regulamento);(vide regulamento);0;Ativo Vedado / FIDC Vedado /
10.783.480/0001-68;DAYCOVAL CLASSIC FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;0;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;Não há.;D+4;D+5;0;FIDC Vedado /
10.883.200/0001-93;BOTAFOGO INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA;FI;Fundo de Renda Fixa;1;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;MHFT INVESTIMENTOS S.A.;Não há.;D+1;D+1;0;Ativo Vedado /
10.883.252/0001-60;BRA1 FUNDO DE INVESTIMENTO RENDA FIXA;FI;Fundo de Renda Fixa;1;ORLA DTVM S/A;INTERATIVA INVESTIMENTOS LTDA.;Não há.;D+1440;D+1445;0;Ativo Vedado /
10.896.292/0001-46;INCENTIVO MULTISETORIAL I - FIDC;FIDC;FIDC;0;GRADUAL CCTVM S/A;GRADUAL CCTVM S/A;Data de encerramento de cada série;(vide regulamento);(vide regulamento);0;FIDC Vedado
10.922.541/0001-20;CLÁSSICO FIDC;FIDC;FIDC;0;OBOÉ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A.;OBOÉ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A.;5 dias;D+0;D+5;0;FIDC Vedado
11.198.684/0001-02;PRASS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II;FIDC;FIDC;2;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;QUATÁ GESTÃO DE RECURSOS LTDA;Não há.;(vide regulamento);(vide regulamento);0;FIDC Vedado
11.357.758/0001-06;ROMA AÇÕES FI DE AÇÕES;FI;Fundo de Ações;4;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;LHYNQZ - GESTAO DE RECURSOS LTDA;360 dias corridos;D+1;D+4;0;Investidor Profissional
11.490.580/0001-69;ÁTICO GERAÇÃO DE ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;FIP;FIP;2;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;ATICO ADMINISTRAÇÃO DE RECURSOS LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado
11.670.393/0001-67;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LAVORO II;FIDC;FIDC;2;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;LAVORO ASSET MANAGEMENT S.A.;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIDC Vedado
11.784.036/0001-20;LME REC IMA-B FUNDO DE INVESTIMENTO EM RENDA FIXA;FI;Fundo de Renda Fixa;0;GRADUAL CCTVM S/A;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;Não há.;D+1008;D+1009;0;Ativo Vedado / FIP Vedado /
11.827.568/0001-05;INCENTIVO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CDI CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;2;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;Não há.;D+0;D+120;0;Ativo Vedado /
11.902.276/0001-81;FUNDO DE INVESTIMENTO RECUPERAÇÃO BRASIL RENDA FIXA LONGO PRAZO;FI;Fundo de Renda Fixa;1;INTRADER DTVM LTDA;BRZ INVESTIMENTOS LTDA;90 dias corridos.;D+730;D+731;15;Ativo Vedado /
11.902.340/0001-24;MAXPREV FIQ FIDC MULTISETORIAL;FIDC;FIDC;2;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;AGGREGA INVESTIMENTOS LTDA.;Não há.;D+5;D+35;0;FIDC Vedado - Classe Única
11.945.604/0001-27;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II FUNDO DE INVESTIMENTO IMOBILIARIO - FII;FII;Fundo de Investimento Imobiliário;2;OLIVEIRA TRUST DTVM S.A.;RB CAPITAL ASSET MANAGEMENT LTDA.;0;0;0;0;FII - Negociação 60%
