CNPJ DO FUNDO;NOME DO FUNDO;CLASSE;CLASSE;TX. ADM;ADMINISTRADOR;GESTOR;CARÊNCIA;CONVERSÃO DE COTAS;DISP. REC. RESGATADO;TAXA_SAIDA;MOTIVO
15.769.621/0001-01;ROMA INSTITUCIONAL VALUE FUNDO DE INVESTIMENTO EM AÇÕES;FI;Fundo de Ações;3;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;ROMA ASSET MANAGEMENT LTDA;Não há.;D+1800;D+1801;40;FII Vedado / FIP Vedado /
15.786.690/0001-23;BRB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM RENDA FIXA DI LONGO PRAZO 1 MILHÃO;FI;Fundo de Renda Fixa;0;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Não há.;D+0;D+0;0;Ativo Vedado / FIDC Vedado / FII Vedado /
15.798.354/0001-09;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES LSH - MULTIESTRATÉGIA;FIP;FIP;0;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;MORE INVEST GESTORA DE RECURSOS LTDA.;0;"NA";"NA";0;FIP Vedado
16.478.738/0001-07;ÁTICO FUNDO DE INVESTIMENTO RENDA FIXA II IMA-B;FI;Fundo de Renda Fixa;1;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;ATICO ADMINISTRAÇÃO DE RECURSOS LTDA;Não há.;D+1470;D+1471;0;Ativo Vedado /
16.543.270/0001-89;SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;FII;Fundo de Investimento Imobiliário;2;FOCO DTVM LTDA.;GENUS CAPITAL GROUP GESTAO DE RECURSOS SA;0;0;0;0;FII - Negociação 60%
16.617.536/0001-90;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES PUMA;FIP;FIP;1;GRADUAL CCTVM S/A;LEME INVESTIMENTOS LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado
16.685.929/0001-31;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA LA SHOPPING CENTERS;FIP;FIP;0;PLANNER CORRETORA DE VALORES SA;LEGATUS GESTORA DE RECURSOS FINANCEIROS LTDA.;0;"NA";"NA";0;FIP Vedado
16.720.629/0001-46;BRB BLUEJAY FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES IMOBILIÁRIO MULTIESTRATEGIA PARANÁ I;FIP;FIP;2;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BLUEJAY GESTAO DE ATIVOS S.A.;0;(vide regulamento);(vide regulamento);0;FIP Vedado
16.841.067/0001-99;SOCOPA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;1;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;RIVIERA GESTORA DE RECURSOS LTDA;0;0;0;0;FII - Negociação 60%, Investidor Profissional
16.875.388/0001-04;HEDGE TOP FOFII 2 FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;1;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;HEDGE INVESTMENTS REAL ESTATE GESTAO DE RECURSOS LTDA.;0;0;0;0;FII - Negociação 60%
16.915.968/0001-88;MERITO DESENVOLVIMENTO IMOBILIARIO I FII - FUNDO DE INVESTIMENTO IMOBILIARIO;FII;Fundo de Investimento Imobiliário;2;PLANNER CORRETORA DE VALORES SA;MÉRITO INVESTIMENTOS SA;0;0;0;0;FII - Negociação 60%
17.013.985/0001-92;GGR PRIME I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;FIDC;FIDC;2;CM CAPITAL MARKETS DTVM LTDA;GGR GESTAO DE RECURSOS LTDA;29 dias.;D+1600;D+1601;0;FIDC Vedado
17.021.319/0001-04;MÉRITO MULTIMERCADO I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;FI;Fundo Multimercado;0;PLANNER CORRETORA DE VALORES SA;TG CORE ASSET LTDA;Não há.;D+180;D+181;0;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado /
17.213.759/0001-55;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES FONTAINE VILLE URBANISMO MULTIESTRATÉGIA;FIP;FIP;2;PHENOM CAPITAL ADMINISTRADORA DE RECURSOS S/A;MHFT INVESTIMENTOS S.A.;0;(vide regulamento);(vide regulamento);0;FIP Vedado
17.213.821/0001-09;FUNDO DE INVESTIMENTO EM PARTICIPACOES CAIS MAUA DO BRASIL INFRAESTRUTURA;FIP;FIP;1;REAG ADMINISTRADORA DE RECURSOS LTDA.;MHFT INVESTIMENTOS S.A.;0;(vide regulamento);(vide regulamento);0;FIP Vedado
17.213.849/0001-46;FUNDO DE INVESTIMENTO SICÍLIA RENDA FIXA LONGO PRAZO;FI;Fundo de Renda Fixa;1;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;MHFT INVESTIMENTOS S.A.;Não há.;(vide regulamento);(vide regulamento);30;Ativo Vedado / FIP Vedado /
17.412.812/0001-47;FUNDO DE INVESTIMENTO MULTIMERCADO OSLO;FI;Fundo Multimercado;1;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;MHFT INVESTIMENTOS S.A.;Não há.;(vide regulamento);(vide regulamento);30;Ativo Vedado / FIP Vedado /
17.517.779/0001-10;FUNDO DE INVESTIMENTO CATÂNIA RENDA FIXA LONGO PRAZO;FI;Fundo de Renda Fixa;1;AUSTRO ADMINISTRAÇÃO DE RECURSOS LTDA;AUSTRO ADMINISTRAÇÃO DE RECURSOS LTDA;84 meses;D+29;D+30;30;Ativo Vedado / FIP Vedado /
18.366.002/0001-64;AUSTRO MULTIPAR FUNDO DE INVESTIMENTO EM COTA DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;FI;Fundo Multimercado;2;AUSTRO ADMINISTRAÇÃO DE RECURSOS LTDA;AUSTRO ADMINISTRAÇÃO DE RECURSOS LTDA;96 meses;D+0;D+1;0;FIP Vedado /
18.369.510/0001-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII;FII;Fundo de Investimento Imobiliário;1;PLANNER CORRETORA DE VALORES SA;INFRA ASSET MANAGEMENT LTDA;0;0;0;0;FII - Negociação 60%
18.373.362/0001-93;FIP GESTÃO EMPRESARIAL - FUNDO DE INVESTIMENTO EM PARTICIPAÇOES MULTIESTRATÉGIA;FIP;FIP;2;GRADUAL CCTVM S/A;TMJ CAPITAL GESTÃO DE RECURSOS LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado
19.107.604/0001-60;OURO PRETO DESENVOLVIMENTO IMOBILIARIO I FUNDO DE INVESTIMENTO IMOBILIARIO - FII;FII;Fundo de Investimento Imobiliário;2;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;OURO PRETO GESTÃO DE RECURSOS S.A.;0;0;0;0;FII - Negociação 60%
19.225.709/0001-13;SUL AMÉRICA HIGH YIELD FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;FI;Fundo Multimercado;2;SUL AMERICA INVESTIMENTOS DTVM S.A.;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;2 anos;D+360;D+361;0;CRI/CRA /
19.324.345/0001-29;BRB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM RENDA FIXA DI 100 MIL LONGO PRAZO;FI;Fundo de Renda Fixa;1;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Não há.;D+0;D+0;0;Ativo Vedado / FIDC Vedado / FII Vedado /
19.391.026/0001-36;AUSTRO IMA-B ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO - RENDA FIXA;FI;Fundo de Renda Fixa;0;AUSTRO ADMINISTRAÇÃO DE RECURSOS LTDA;AUSTRO GESTÃO DE RECURSOS LTDA.;Não há.;D+1;D+4;0;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado / FIP Vedado /
19.833.108/0001-93;FUNDO DE INVESTIMENTO BARCELONA RENDA FIXA;FI;Fundo de Renda Fixa;1;GRADUAL CCTVM S/A;FMD GESTÃO DE RECURSOS S.A.;Não há.;D+1260;D+1261;30;Investidor Profissional
20.062.057/0001-22;AUSTRO IPCA INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;1;AUSTRO ADMINISTRAÇÃO DE RECURSOS LTDA;AUSTRO ADMINISTRAÇÃO DE RECURSOS LTDA;Não há.;D+2;D+3;0;Ativo Vedado / CRI/CRA /
20.073.335/0001-47;RHODES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA LONGO PRAZO;FI;Fundo de Renda Fixa;0;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;MHFT INVESTIMENTOS S.A.;Não há.;(vide regulamento);(vide regulamento);30;Ativo Vedado / FIP Vedado /
20.468.531/0001-10;GGR INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA IMA-B 5;FI;Fundo de Renda Fixa;1;CM CAPITAL MARKETS DTVM LTDA;GGR GESTAO DE RECURSOS LTDA;Não há.;D+1900;D+1901;0;Ativo Vedado / FIDC Vedado /
20.886.575/0001-60;FP2 FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES;FIP;FIP;1;CABEDAL INVESTIMENTOS & COMMODITIES LTDA;URCA GESTORA DE ATIVOS LTDA.;6 meses contados da data de início do FUNDO;NI;NI;0;FIP Vedado
20.887.259/0001-03;SINGAPORE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM RENDA FIXA;FI;Fundo de Renda Fixa;1;FOCO DTVM LTDA.;ROMA ASSET MANAGEMENT LTDA;1800 dias corridos;D+90;D+91;50;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado / FIP Vedado /
21.331.225/0001-09;EDUCAÇÃO BR FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - MULTIESTRATÉGIA;FIP;FIP;0;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;0;"NA";"NA";0;FIP Vedado
21.518.523/0001-02;H11 CAPITAL ESTRATÉGIA FUNDO DE INVESTIMENTO EM AÇÕES;FI;Fundo de Ações;0;PLANNER CORRETORA DE VALORES SA;ZION GESTAO DE RECURSOS LTDA;Não há.;D+1;D+4;0;Ativo Vedado / FII Vedado /
21.518.635/0001-55;MONZA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMEN MULTIMERCADO LONGO PRAZO - CP;FI;Fundo Multimercado;0;FOCO DTVM LTDA.;ROMA ASSET MANAGEMENT LTDA;90 dias corridos;D+1800;D+1801;nd;FII Vedado / FIP Vedado /
21.862.783/0001-92;CAM THRONE FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES IMOBILIÁRIO MULTIESTRATÉGIA;FIP;FIP;1;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;CAMARGUE ASSET MANAGEMENT LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado
21.937.782/0001-60;MULTINVEST INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA IMAB-5;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA;Não há.;D+1460;D+1461;0;Ativo Vedado / CRI/CRA / FIDC Vedado /
22.406.951/0001-06;CAM VANGUARDA IMOBILIÁRIO FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES;FIP;FIP;1;GRADUAL CCTVM S/A;CAMARGUE ASSET MANAGEMENT LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado
22.415.761/0001-47;RIVIERA INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA;FI;Fundo de Renda Fixa;1;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;RIVIERA GESTORA DE RECURSOS LTDA;Não há.;D+0;D+1;0;Ativo Vedado / CRI/CRA / FIDC Vedado /
22.443.530/0001-47;TERRA NOVA FUNDO DE INVESTIMENTO DE RENDA FIXA INSTITUCIONAL IMA-B LONGO PRAZO;FI;Fundo de Renda Fixa;1;ORLA DTVM S/A;TERRA NOVA GESTÃO E ADMINISTRAÇÃO DE NEGÓCIOS LTDA;Não há.;D+1;D+3;0;CRI/CRA /
22.489.410/0001-80;VENTURE BRASIL CENTRAL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES CAPITAL SEMENTE;FIP;FIP;3;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;CEDRO ASSET MANAGEMENT LTDA;0;"NA";"NA";0;FIP Vedado
22.924.370/0001-58;TG REGIONAL I FUNDO DE INVESTIMENTO RENDA FIXA IMA-B;FI;Fundo de Renda Fixa;1;GERAÇÃO FUTURO CORRETORA DE VALORES S/A;TG CORE ASSET LTDA;Não há.;D+360;D+361;0;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado /
23.033.577/0001-03;ILLUMINATI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;FIDC;FIDC;2;PLANNER CORRETORA DE VALORES SA;FMD GESTÃO DE RECURSOS S.A.;30 dias;D+1259;D+1260;30;FIDC Vedado
23.246.620/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MARTE FORNECEDORES;FIDC;FIDC;3;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;BRAX INVESTIMENTOS LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIDC Vedado
23.431.871/0001-65;TRX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CORPORATIVO I;FIDC;FIDC;2;GRADUAL CCTVM S/A;TRX GESTORA DE RECURSOS LTDA;29 dias corridos a partir de cada aplicação.;D+1399;D+1400;0;FIDC Vedado
23.471.975/0001-01;PHENOM CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO LONGO PRAZO;FI;Fundo Multimercado;2;ORLA DTVM S/A;PHENOM CAPITAL ADMINISTRADORA DE RECURSOS S/A;3 anos;D+2555;D+2556;0;Ativo Vedado / FIP Vedado /
23.876.086/0001-16;JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB;FII;Fundo de Investimento Imobiliário;3;PLANNER CORRETORA DE VALORES SA;OURO PRETO GESTÃO DE RECURSOS S.A.;0;0;0;0;FII - Negociação 60%
23.896.287/0001-85;FUNDO DE INVESTIMENTO DE RENDA FIXA PYXIS INSTITUCIONAL IMA-B;FI;Fundo de Renda Fixa;1;PLANNER CORRETORA DE VALORES SA;BRPP GESTÃO DE PRODUTOS ESTRUTURADOS LTDA.;1 dia.;D+1440;D+1441;30;Ativo Vedado / CRI/CRA /
23.948.236/0001-50;TERRA NOVA IMAB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO - RENDA FIXA;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;TERRA NOVA GESTÃO E ADMINISTRAÇÃO DE NEGÓCIOS LTDA;Não há.;D+1460;D+1464;30;CRI/CRA / FIDC Vedado / FII Vedado /
23.954.899/0001-87;TOWER BRIDGE II RENDA FIXA FUNDO DE INVESTIMENTO IMA B 5;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;Não há.;D+1470;D+1471;0;Ativo Vedado / FIDC Vedado / FII Vedado /
24.069.712/0001-25;GGR ESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;2;PLANNER CORRETORA DE VALORES SA;GGR GESTAO DE RECURSOS LTDA;0;0;0;0;FII - Negociação 60%
24.796.602/0001-65;OAK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA - CRÉDITO PRIVADO;FI;Fundo de Renda Fixa;0;GRADUAL CCTVM S/A;OAK ASSET - GESTÃO DE RECURSOS FINANCEIROS LTDA;Não há.;D+1865;D+1866;0;FIDC Vedado /
24.947.261/0001-81;INVEXA FUNDO DE INVESTIMENTO EM RENDA FIXA;FI;Fundo de Renda Fixa;1;CM CAPITAL MARKETS DTVM LTDA;INTERINVEST GESTAO DE INVESTIMENTOS LTDA;Não há.;D+1008;D+1009;0;Ativo Vedado /
25.246.183/0001-50;TERCON FIC FIM MULTICRÉDITO CRÉDITO PRIVADO;FI;Fundo Multimercado;0;CM CAPITAL MARKETS DTVM LTDA;TERCON INVESTIMENTOS LTDA;1460 dias corridos;D+60;D+61;0;Ativo Vedado / FIDC Vedado / FII Vedado / FIP Vedado /
26.207.741/0001-31;INVEXA JURO REAL FUNDO DE INVESTIMENTO EM RENDA FIXA;FI;Fundo de Renda Fixa;1;CM CAPITAL MARKETS DTVM LTDA;INTERINVEST GESTAO DE INVESTIMENTOS LTDA;Não há.;D+1008;D+1009;0;Ativo Vedado / CRI/CRA /
26.207.771/0001-48;HORUS VETOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;FI;Fundo Multimercado;2;CM CAPITAL MARKETS DTVM LTDA;HORUS INVESTIMENTOS - GESTORA DE RECURSOS LTDA;1280 dias.;D+1;D+2;0;FII Vedado / FIP Vedado /
26.326.285/0001-49;PREMIUM IMA-B FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;TERRA NOVA GESTÃO E ADMINISTRAÇÃO DE NEGÓCIOS LTDA;Não há.;D+1460;D+1464;30;CRI/CRA / FIDC Vedado / FII Vedado /
26.326.293/0001-95;TERRA NOVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;FI;Fundo Multimercado;2;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;TERRA NOVA GESTÃO E ADMINISTRAÇÃO DE NEGÓCIOS LTDA;Não há.;D+1825;D+1829;30;CRI/CRA / FIDC Vedado / FII Vedado /
26.326.321/0001-74;TERRA NOVA IMA-B FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO - RENDA FIXA II;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;TERRA NOVA GESTÃO E ADMINISTRAÇÃO DE NEGÓCIOS LTDA;Não há.;D+1460;D+1464;30;CRI/CRA / FIDC Vedado / FII Vedado /
26.327.862/0001-17;PREMIUM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;TERRA NOVA GESTÃO E ADMINISTRAÇÃO DE NEGÓCIOS LTDA;Não há.;D+1460;D+1464;30;FIDC Vedado / FII Vedado /
27.212.823/0001-37;TMJ FUNDO DE INVESTIMENTO IMOBILIARIO;FII;Fundo de Investimento Imobiliário;1;ORLA DTVM S/A;TMJ CAPITAL GESTÃO DE RECURSOS LTDA;0;0;0;0;FII - Negociação 60%, Investidor Profissional
97.521.194/0001-02;CLARITAS LOGÍSTICA I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;5;BANCO BNP PARIBAS BRASIL S/A;CLARITAS ADMINISTRAÇÃO DE RECURSOS LTDA;0;0;0;0;FII - Negociação 60%
