TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_ADMIN;ADMIN
FIDC;14.351.508/0001-49;2011-11-23;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
FIDC;14.364.744/0001-08;2011-10-17;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;14.399.404/0001-04;2013-03-04;02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
FIDC;14.400.127/0001-02;2011-10-11;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;14.400.871/0001-07;2011-10-05;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;14.400.957/0001-30;2011-10-04;62.418.140/0001-31;INTRAG DTVM LTDA.
FIDC;14.447.881/0001-06;2012-04-17;33.918.160/0001-73;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;14.460.428/0001-21;2011-11-04;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;14.477.691/0001-23;2012-06-15;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;14.481.752/0001-26;2011-10-21;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;14.493.661/0001-00;2011-11-28;33.918.160/0001-73;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;14.544.060/0001-80;2017-12-29;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
FIDC;14.548.676/0001-29;2014-02-13;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
FIDC;14.561.043/0001-50;2011-11-07;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;14.583.320/0001-26;2011-11-10;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;14.583.491/0001-55;2013-06-20;02.671.743/0001-19;CM CAPITAL MARKETS DTVM LTDA
FIDC;14.605.609/0001-07;2012-10-30;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;14.605.855/0001-50;2012-10-11;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;14.605.977/0001-47;2012-02-06;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;14.606.072/0001-91;2011-11-29;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;14.606.175/0001-51;2013-03-25;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;14.606.301/0001-78;2012-10-19;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;14.617.405/0001-88;2011-11-21;33.918.160/0001-73;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;14.662.609/0001-30;2011-12-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
