TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_ADMIN;ADMIN
FIDC;18.166.441/0001-23;2014-02-07;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
FIDC;18.166.957/0001-78;2016-10-05;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
FIDC;18.168.530/0001-09;2013-06-28;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.185.812/0001-14;2013-05-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.265.384/0001-30;2013-06-10;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.269.128/0001-10;2012-08-24;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;18.283.177/0001-08;2013-07-15;33.868.597/0001-40;CITIBANK DTVM SA
FIDC;18.289.873/0001-21;2013-11-19;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A
FIDC;18.316.819/0001-28;2014-09-25;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.387.112/0001-02;2013-08-01;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.392.964/0001-98;2015-04-02;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.419.350/0001-52;2013-07-17;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;18.428.860/0001-96;2013-11-14;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.537.284/0001-15;2013-08-10;52.904.364/0001-08;NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES
FIDC;18.563.847/0001-40;2013-09-26;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.593.058/0001-51;2013-08-15;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.593.073/0001-08;2015-01-06;33.918.160/0001-73;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;18.622.819/0001-56;2013-08-19;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;18.652.979/0001-48;2013-08-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
