TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC
FACFIF;05.101.791/0001-60;ALFA PRIVATE  FLEX 018  FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO INVEST QUALIFICADO;2003-04-30;2002-12-11;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.101.785/0001-02;ALFA PRIVATE  FLEX 019 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2002-12-11;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.491.520/0001-68;ALFA PRIVATE  FLEX 024  FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2003-04-30;2003-03-25;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.969.627/0001-06;ALFA PRIVATE  PHOENIX - FUNDO DE INVESTIMENTO MULTIMERCADO - INVEST QUALIFICADOS;2003-04-30;2002-04-11;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.324.131/0001-85;ALFA PRIVATE 30 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2003-02-12;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;03.236.519/0001-61;ALFA PRIVATE DI - FIC FI RENDA FIXA REFERENCIADO LONGO PRAZO;2003-04-30;1999-07-02;2004-11-29;CANCELADA;2004-11-29;;
FACFIF;04.969.732/0001-45;ALFA PRIVATE FLEX 009 - FDO APLIC EM QUOTAS DE FDO INV FINAN;2003-04-30;2002-06-28;2002-10-14;CANCELADA;2002-10-14;;
FACFIF;04.969.638/0001-96;ALFA PRIVATE FLEX 010 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2002-09-26;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.324.148/0001-32;ALFA PRIVATE FLEX 011 FIC DE FI MULTIMERCADO -CRÉDITO PRIVADO- INVEST QUALIFICADO;2003-04-30;2001-03-05;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;03.968.662/0001-48;ALFA PRIVATE FLEX 012 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2000-07-28;2005-01-27;CANCELADA;2005-01-27;;
